block_name,district_n,state_name,Unq,district_name,longitude,latitude
Khallikote,Ganjam,Odisha,102,Ganjam,85.078,19.61
Naugaon,Jagatsingpur,Odisha,116,Jagatsinghpur,86.201,20.106
Remuna,Baleswar,Odisha,18,Balasore,86.871,21.482
Reamal,Deogarh,Odisha,72,Deogarh,84.764,21.317
Ganjam,Ganjam,Odisha,98,Ganjam,85.059,19.46
Kotpad,Koraput,Odisha,197,Koraput,82.338,19.077
Nuapada,Nuapada,Odisha,258,Nuapara,82.533,20.836
Raikia,Kandhamal,Odisha,156,Kandhamal,84.303,19.979
Barang,Cuttack,Odisha,61,Cuttack,85.879,20.382
Kolabira,Jharsuguda,Odisha,131,Jharsuguda,84.185,21.806
Saharapada,Keonjhar,Odisha,179,Keonjhar,85.951,21.686
Anugul,Anugul,Odisha,1,Angul,84.941,20.704
Khaira,Baleswar,Odisha,15,Balasore,86.483,21.256
Rasagovindpur,Mayurbhanja,Odisha,230,Mayurbhanj,87.058,21.779
G. Udayagiri,Kandhamal,Odisha,150,Kandhamal,84.366,20.107
Bandhugaon,Koraput,Odisha,191,Koraput,83.294,18.942
Begunia,Khurda,Odisha,184,Khordha,85.476,20.167
Athagad,Cuttack,Odisha,57,Cuttack,85.725,20.546
Kantamal,Boudh,Odisha,56,Bauda,83.802,20.626
Dharmasala,Jajpur,Odisha,124,Jajpur,86.103,20.777
Jajpur,Jajpur,Odisha,125,Jajpur,86.285,20.826
Cuttack Sadar,Cuttack,Odisha,62,Cuttack,85.941,20.428
Tangi,Khurda,Odisha,190,Khordha,85.455,19.949
Nischintakoili,Cuttack,Odisha,67,Cuttack,86.193,20.437
Salipur,Cuttack,Odisha,68,Cuttack,86.058,20.491
Malkangiri,Malkangiri,Odisha,209,Malkangiri,81.966,18.416
Dasapalla,Nayagarh,Odisha,249,Nayagarh,84.73,20.333
Belpara,Bolangir,Odisha,42,Balangir,82.953,20.602
Bisra,Sundargarh,Odisha,299,Sundargarh,85.012,22.253
Rayagada,Gajapati,Odisha,88,Gajapati,83.714,19.064
Hinjilicut,Ganjam,Odisha,99,Ganjam,84.783,19.451
Thakurmunda,Mayurbhanja,Odisha,235,Mayurbhanj,86.2,21.522
Kusumi,Mayurbhanja,Odisha,226,Mayurbhanj,86.104,22.135
Mahanga,Cuttack,Odisha,64,Cuttack,86.187,20.572
Rengali,Sambalpur,Odisha,289,Sambalpur,84.093,21.681
Satyabadi,Puri,Odisha,270,Puri,85.81,19.953
Tirtol,Jagatsingpur,Odisha,118,Jagatsinghpur,86.323,20.286
Titilagarh,Bolangir,Odisha,52,Balangir,83.146,20.274
Keonjhar,Keonjhar,Odisha,177,Keonjhar,85.623,21.695
Dasamantapur,Koraput,Odisha,194,Koraput,82.862,19.005
Gurundia,Sundargarh,Odisha,300,Sundargarh,84.719,21.918
Kashipur,Rayagada,Odisha,276,Rayagada,83.083,19.303
